name,latitude,longitude,date_of_occurrence
THEFT,41.893646656,-87.631177143,2024-07-14T09:45:00.000
CRIMINAL DAMAGE,41.892376532,-87.719885364,2024-07-14T09:45:00.000
BATTERY,41.816592454,-87.689555579,2024-07-14T09:50:00.000
BATTERY,41.994696895,-87.682411301,2024-07-14T09:53:00.000
THEFT,41.892483509,-87.627215916,2024-07-14T09:57:00.000
BATTERY,41.702809626,-87.643920958,2024-07-14T09:57:00.000
THEFT,41.685253328,-87.628406443,2024-07-14T10:00:00.000
CRIMINAL DAMAGE,41.808966952,-87.601687415,2024-07-14T10:00:00.000
DECEPTIVE PRACTICE,41.709770395,-87.644113943,2024-07-14T10:00:00.000
DECEPTIVE PRACTICE,41.934191161,-87.752752715,2024-07-14T10:00:00.000
BATTERY,41.687119881,-87.679542525,2024-07-14T10:00:00.000
MOTOR VEHICLE THEFT,41.747769971,-87.665797486,2024-07-14T10:00:00.000
THEFT,41.749443216,-87.605991694,2024-07-14T10:00:00.000
ASSAULT,41.788548789,-87.586647186,2024-07-14T10:00:00.000
CRIMINAL DAMAGE,41.763033787,-87.60915908,2024-07-14T10:00:00.000
BATTERY,41.918181808,-87.718062016,2024-07-14T10:03:00.000
THEFT,41.88171846,-87.627760426,2024-07-14T10:09:00.000
BATTERY,41.861934611,-87.715286581,2024-07-14T10:13:00.000
MOTOR VEHICLE THEFT,41.68543577,-87.710337614,2024-07-14T10:15:00.000
THEFT,41.77635936,-87.755263596,2024-07-14T10:15:00.000
BATTERY,41.751857803,-87.556867599,2024-07-14T10:15:00.000
ROBBERY,41.90581932,-87.760555357,2024-07-14T10:25:00.000
CRIMINAL DAMAGE,41.947930442,-87.766828409,2024-07-14T10:26:00.000
ROBBERY,41.943136646,-87.684942941,2024-07-14T10:27:00.000
BATTERY,41.807067906,-87.603843747,2024-07-14T10:28:00.000
BATTERY,41.8032982,-87.653195042,2024-07-14T10:30:00.000
THEFT,41.939440253,-87.77026297,2024-07-14T10:30:00.000
BATTERY,41.935707028,-87.70349384,2024-07-14T10:35:00.000
BATTERY,41.934067729,-87.645912462,2024-07-14T10:35:00.000
ROBBERY,41.929019789,-87.653062881,2024-07-14T10:38:00.000
BATTERY,41.725703801,-87.553914954,2024-07-14T10:38:00.000
THEFT,41.864635412,-87.715370706,2024-07-14T10:47:00.000
THEFT,41.707196813,-87.621256153,2024-07-14T10:47:00.000
ASSAULT,41.797536097,-87.675975345,2024-07-14T10:50:00.000
THEFT,41.938882329,-87.661889437,2024-07-14T10:55:00.000
OTHER OFFENSE,41.997383899,-87.709677147,2024-07-14T11:00:00.000
OTHER OFFENSE,41.657654674,-87.595794666,2024-07-14T11:00:00.000
MOTOR VEHICLE THEFT,41.922629958,-87.773240185,2024-07-14T11:00:00.000
MOTOR VEHICLE THEFT,41.949894713,-87.660457838,2024-07-14T11:00:00.000
THEFT,41.960211239,-87.708216117,2024-07-14T11:00:00.000
THEFT,41.896375946,-87.6242787,2024-07-14T11:03:00.000
THEFT,41.884650262,-87.627915459,2024-07-14T11:04:00.000
THEFT,41.868541914,-87.639235361,2024-07-14T11:09:00.000
NARCOTICS,41.761418996,-87.624820784,2024-07-14T11:10:00.000
BATTERY,41.752235903,-87.659378142,2024-07-14T11:15:00.000
THEFT,41.893469034,-87.632648229,2024-07-14T11:20:00.000
ASSAULT,41.808431843,-87.613856556,2024-07-14T11:24:00.000
WEAPONS VIOLATION,41.730266415,-87.636164826,2024-07-14T11:26:00.000
ASSAULT,41.751119291,-87.614603198,2024-07-14T11:27:00.000
CRIMINAL TRESPASS,41.876607964,-87.627644063,2024-07-14T11:30:00.000
CRIMINAL SEXUAL ASSAULT,41.740168309,-87.675325952,2024-07-14T11:30:00.000
OTHER OFFENSE,41.847129243,-87.711204694,2024-07-14T11:30:00.000
BURGLARY,41.905041635,-87.749446217,2024-07-14T11:38:00.000
