STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,GREEN,BROWN,PURPLE,PURPLE EXPRESS,Y,PINK,ORANGE,Location,latitude,longitude
30176,S,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow lines)",40900,True,False,False,False,False,True,True,True,False,False,"(42.019063, -87.672892)",42.019063,-87.672892
30079,S,Noyes (Howard-Loop-bound),Noyes,Noyes (Purple Line),40400,False,False,False,False,False,True,True,False,False,False,"(42.058282, -87.683337)",42.058282,-87.683337
30022,N,35th/Archer (Loop-bound),35th/Archer,35th/Archer (Orange Line),40120,True,False,False,False,False,False,False,False,False,True,"(41.829353, -87.680622)",41.829353,-87.680622
30188,W,Cicero (Forest Pk-bound),Cicero,Cicero (Blue Line),40970,False,False,True,False,False,False,False,False,False,False,"(41.871574, -87.745154)",41.871574,-87.745154
30145,N,Harlem (O'Hare Branch) (O'Hare-bound),Harlem,Harlem (Blue Line - O'Hare Branch),40750,True,False,True,False,False,False,False,False,False,False,"(41.98227, -87.8089)",41.98227,-87.8089
30126,S,North/Clybourn (95th-bound),North/Clybourn,North/Clybourn (Red Line),40650,False,True,False,False,False,False,False,False,False,False,"(41.910655, -87.649177)",41.910655,-87.649177
30155,N,Sedgwick (Kimball-Linden-bound),Sedgwick,Sedgwick (Brown & Purple lines),40800,True,False,False,False,True,False,True,False,False,False,"(41.910409, -87.639302)",41.910409,-87.639302
30085,W,Clinton (Forest Pk-bound),Clinton,Clinton (Blue Line),40430,False,False,True,False,False,False,False,False,False,False,"(41.875539, -87.640984)",41.875539,-87.640984
30282,S,Irving Park (Loop-bound),Irving Park,Irving Park (Brown Line),41460,True,False,False,False,True,False,False,False,False,False,"(41.954521, -87.674868)",41.954521,-87.674868
30159,N,Rosemont (O'Hare-bound),Rosemont,Rosemont (Blue Line),40820,True,False,True,False,False,False,False,False,False,False,"(41.983507, -87.859388)",41.983507,-87.859388
30119,E,Ridgeland (63rd-bound),Ridgeland,Ridgeland (Green Line),40610,False,False,False,True,False,False,False,False,False,False,"(41.887159, -87.783661)",41.887159,-87.783661
30069,W,UIC-Halsted (Forest Pk-bound),UIC-Halsted,UIC-Halsted (Blue Line),40350,True,False,True,False,False,False,False,False,False,False,"(41.875474, -87.649707)",41.875474,-87.649707
30384,S,Washington/Wabash (Inner Loop),Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",41700,True,False,False,True,False,False,True,False,True,True,"(41.88322, -87.626189)",41.88322,-87.626189
30198,S,Logan Square (Forest Pk-bound),Logan Square,Logan Square (Blue Line),41020,True,False,True,False,False,False,False,False,False,False,"(41.929728, -87.708541)",41.929728,-87.708541
30256,S,Belmont (95th-bound),Belmont,"Belmont (Red, Brown & Purple lines)",41320,True,True,False,False,False,False,False,False,False,False,"(41.939751, -87.65338)",41.939751,-87.65338
30212,S,Monroe (95th-bound),Monroe,Monroe (Red Line),41090,False,True,False,False,False,False,False,False,False,False,"(41.880745, -87.627696)",41.880745,-87.627696
30051,W,State/Lake (Outer Loop),State/Lake,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",40260,False,False,False,True,True,False,False,False,False,False,"(41.88574, -87.627835)",41.88574,-87.627835
30216,S,Halsted (Midway-bound),Halsted,Halsted (Orange Line),41130,True,False,False,False,False,False,False,False,False,True,"(41.84678, -87.648088)",41.84678,-87.648088
30058,N,Indiana (Harlem-bound),Indiana,Indiana (Green Line),40300,True,False,False,True,False,False,False,False,False,False,"(41.821732, -87.621371)",41.821732,-87.621371
